path_name,name
C2,Commune Unius Martyris Pontificis
C2a,Commune Unius Martyris
C2b,Commune unius Summi Pontificis et Martyris
C3,Commune Plurimorum Martyrum Pontificum
C3a,Commune Plurimorum Martyrum
C3b,Commune plurium Summorum Pontificum Martyrum
C4,Commune unius Confessoris Pontificis
C4a,Commune Doctoris Pontificis
C4b,Commune Summorum Pontificum Confessorum
C5,Commune Confessoris non Pontificis
C5a,Commune Doctoris non Pontificis
C5b,Commune Abbatis
C6,Commune Unius Virginis et Martyris
C6a,Commune Virginum
C7,Commune non Virginis Martyris
C7a,Commune non Virginum non Martyrum
C7b,Commune plurimarum non Virginum Martyrum
C8,Commune Dedicationis Ecclesiae
C9,Missa pro Defunctis
C10,Sanctæ Mariæ Sabbato
C10Pasc,Sanctæ Mariæ Tempore Paschali
C10a,Sanctæ Mariæ in Adventu
C10b,Sanctæ Mariæ a Nativitate ad Purificationem
C11,In Festis Beatæ Mariæ Virginis
Coronatio,Missa Votiva Papalis
