path_name,name
01-00,Sanctissimi Nominis Jesu
01-01,In Circumcisione Domini
01-02,In Octava S. Stephani Protomartyris
01-03,In Octava S. Joannis Apostoli et Evangelistæ
01-04,In Octava Ss. Innocentium
01-05,In Vigilia Epiphaniæ
01-06,In Epiphania Domini
01-07,Secunda die infra Octavam Epiphaniæ
01-08,Tertia die infra Octavam Epiphaniæ
01-09,Quarta die infra Octavam Epiphaniæ
01-10,Quinta die infra Octavam Epiphaniæ
01-11,Sexta die infra Octavam Epiphaniæ
01-12,Septima die infra Octavam Epiphaniæ
01-13,Die Octava Epiphaniæ
01-14,S. Hilarii Episcopi Confessoris Ecclesiæ Doctoris
01-15,S. Pauli Primi Eremitæ et Confessoris
01-16,S. Marcelli Papæ et Martyris
01-17,S. Antonii Abbatis
01-18,Cathedræ S. Petri Romæ
01-19,"Ss. Marii, Marthæ, Audifacis, et Abachum Martyrum"
01-20,Ss. Fabiani et Sebastiani Martyrum
01-21,S. Agnetis Virginis et Martyris
01-22,Ss. Vincentii et Anastasii Martyrum
01-23,S. Raymundi de Peñafort Confessoris
01-24,S. Timothei Episcopi et Martyris
01-25,In Conversione S. Pauli Apostoli
01-26,S. Polycarpi Episcopi et Martyris
01-27,S. Joannis Chrysostomi Episcopi Confessoris et Ecclesiæ Doctoris
01-28,S. Petri Nolasci Confessoris
01-29,S. Francisci Salesii Episcopi Confessoris et Ecclesiæ Doctoris
01-30,S. Martinæ Virginis et Martyris
01-31,S. Joannis Bosco Confessoris
02-01,S. Ignatii Episcopi et Martyris
02-02,In Purificatione Beatæ Mariæ Virginis
02-03,S. Blasii Episcopi et Martyris
02-04,S. Andreæ Corsini Episcopi et Confessoris
02-05,S. Agathæ Virginis et Martyris
02-06,S. Titi Episcopi et Confessoris
02-07,S. Romualdi Abbatis
02-08,S. Joannis de Matha Confessoris
02-09,S. Cyrilli Episc. Alexandrini Confessoris et Ecclesiæ Doctoris
02-10,S. Scholasticæ Virginis
02-11,In Apparitione Beatæ Mariæ Virginis
02-12,Ss. Septem Fundatorum Ordinis Servorum B. M. V.
02-14,S. Valentini Presbyteri et Martyris
