path_name,name
Adv1-0,Dominica I Adventus
Adv2-0,Dominica II Adventus
Adv3-0,Dominica III Adventus
Adv3-3,Feria IV Quattuor Temporum in Adventu
Adv3-5,Feria VI Quattuor Temporum in Adventu
Adv3-6,Sabbato Quattuor Temporum in Adventu
Adv4-0,Dominica IV Adventus
Epi1-0,Sanctæ Familiæ Jesu Mariæ Joseph
Epi1-0a,Dominica infra Octavam Epiphaniæ
Epi2-0,Dominica II post Epiphaniam
Epi3-0,Dominica III Post Epiphaniam
Epi4-0,Dominica IV Post Epiphaniam
Epi5-0,Dominica V Post Epiphaniam
Epi6-0,Dominica VI Post Epiphaniam
Nat1-0,Dominica Infra Octavam Nativitatis
Nat1-0a,Dominica Infra Octavam Nativitatis
Nat2-0,Sanctissimi Nominis Jesu
Pasc0-0,Dominica Resurrectionis
Pasc0-1,Die II infra octavam Paschæ
Pasc0-2,Die III infra octavam Paschæ
Pasc0-3,Die IV infra octavam Paschæ
Pasc0-4,Die V infra octavam Paschæ
Pasc0-5,Die VI infra octavam Paschæ
Pasc0-6,Sabbato in Albis
Pasc1-0,Dominica in Albis in Octava Paschæ
Pasc2-0,Dominica II Post Pascha
Pasc2-3,Patrocinii St. Joseph Confessoris Sponsi B.M.V. confessoris
Pasc2-4,Die II infra Octavam Patrocinii St Joseph
Pasc2-5,Die III infra Octavam Patrocinii St Joseph
Pasc2-6,Die IV infra Octavam Patrocinii St Joseph
Pasc3-0,Dominica III Post Pascha
Pasc3-1,Die VI infra Octavam Patrocinii St Joseph
Pasc3-2,Die VII infra Octavam Patrocinii St Joseph
Pasc3-3,Die Octava Patrocinii St Joseph
Pasc4-0,Dominica IV Post Pascha
Pasc5-0,Dominica V Post Pascha
Pasc5-1,Feria Secunda in Rogationibus
Pasc5-3,"Feria Quarta in Rogationibus, In Vigilia Ascensionis"
Pasc5-4,In Ascensione Domini
Pasc5-5,Feria VI infra Octavam Ascensionis
Pasc5-6,Sabbato infra Octavam Ascensionis
Pasc6-0,Dominica infra Octavam Ascensionis
Pasc6-1,Feria II infra Octavam Ascensionis
Pasc6-2,Feria III infra Octavam Ascensionis
Pasc6-3,Feria IV infra Octavam Ascensionis
Pasc6-4,In Octava Ascensionis
Pasc6-5,Feria VI post Octavam Ascensionis
Pasc6-6,In vigilia Pentecostes
Pasc7-0,Dominica Pentecostes
Pasc7-1,Die II infra octavam Pentecostes
Pasc7-2,Die III infra octavam Pentecostes
Pasc7-3,Feria Quarta Quattuor Temporum Pentecostes
Pasc7-4,Die Quinta infra octavam Pentecostes
Pasc7-5,Feria Sexta Quattuor temporum Pentecostes
Pasc7-6,Sabbato Quattuor Temporum Pentecostes
Pent01-0,Dominica Sanctissimæ Trinitatis
Pent01-0a,Dominica I Post Pentecosten
Pent01-1,Feria Secunda infra Hebdomadam I post Octavam Pentecostes
Pent01-2,Feria Tertia infra Hebdomadam I post Octavam Pentecostes
Pent01-3,Feria Quarta infra Hebdomadam I post Octavam Pentecostes
Pent01-4,Festum Sanctissimi Corporis Christi
Pent01-5,Feria Sexta infra octavam Corporis Christi
Pent01-6,Sabbato infra octavam Corporis Christi
Pent02-0,Dominica II. Post Pentecosten
Pent02-1,Feria Secunda infra Octavam Corporis Christi
Pent02-2,Feria Tertia infra Octavam Corporis Christi
Pent02-3,Feria Quarta infra Octavam Corporis Christi
Pent02-4,In Octava Sanctissimi Corporis Christi
Pent02-5,Sacratissimi Cordis Domini Nostri Jesu Christi
Pent02-6,Die II infra Octavam SSmi Cordis Jesu
Pent03-0,Dominica III Post Pentecosten infra Octavam SSmi Cordis D.N.J.C
Pent03-1,Die IV infra Octavam SSmi Cordis Jesu
Pent03-2,Die V infra Octavam SSmi Cordis Jesu
Pent03-3,Die VI infra Octavam SSmi Cordis Jesu
Pent03-4,Die VII infra Octavam SSmi Cordis Jesu
Pent03-5,Die Octava SSmi Cordis Jesu
Pent04-0,Dominica IV Post Pentecosten
Pent05-0,Dominica V Post Pentecosten
Pent06-0,Dominica VI Post Pentecosten
Pent07-0,Dominica VII Post Pentecosten
Pent08-0,Dominica VIII Post Pentecosten
Pent09-0,Dominica IX Post Pentecosten
Pent10-0,Dominica X Post Pentecosten
Pent11-0,Dominica XI Post Pentecosten
Pent12-0,Dominica XII Post Pentecosten
Pent13-0,Dominica XIII Post Pentecosten
Pent14-0,Dominica XIV Post Pentecosten
Pent15-0,Dominica XV Post Pentecosten
Pent16-0,Dominica XVI Post Pentecosten
Pent17-0,Dominica XVII Post Pentecosten
Pent18-0,Dominica XVIII Post Pentecosten
Pent19-0,Dominica XIX Post Pentecosten
Pent20-0,Dominica XX Post Pentecosten
Pent21-0,Dominica XXI Post Pentecosten
Pent22-0,Dominica XXII Post Pentecosten
Pent23-0,Dominica XXIII Post Pentecosten
Pent24-0,Dominica XXIV et ultima Post Pentecosten
PentEpi3-0,Dominica III quæ superfuit Post Epiphaniam
PentEpi4-0,Dominica IV quæ superfuit Post Epiphaniam
PentEpi5-0,Dominica V quæ superfuit Post Epiphaniam
PentEpi6-0,Dominica VI quæ superfuit Post Epiphaniam
Quad1-0,Dominica I in Quadragesima
Quad1-1,Feria Secunda infra Hebdomadam I in Quadragesima
Quad1-2,Feria Tertia infra Hebdomadam I in Quadragesima
Quad1-3,Feria Quarta Quatuor Temporum Quadragesimæ
Quad1-4,Feria Quinta infra Hebdomadam I in Quadragesima
Quad1-5,Feria Sexta Quattuor Temporum
Quad1-6,Sabbato Quattuor Temporum Quadrageismæ
Quad2-0,Dominica II in Quadragesima
Quad2-1,Feria Secunda infra Hebdomadam II in Quadragesima
Quad2-2,Feria Tertia infra Hebdomadam II in Quadragesima
Quad2-3,Feria Quarta infra Hebdomadam II in Quadragesima
Quad2-4,Feria Quinta infra Hebdomadam II in Quadragesima
Quad2-5,Feria Sexta infra Hebdomadam II in Quadragesima
Quad2-6,Sabbato infra Hebdomadam II in Quadragesima
Quad3-0,Dominica III in Quadragesima
Quad3-1,Feria Secunda infra Hebdomadam III in Quadragesima
Quad3-2,Feria Tertia infra Hebdomadam III in Quadragesima
Quad3-3,Feria Quarta infra Hebdomadam III in Quadragesima
Quad3-4,Feria Quinta infra Hebdomadam III in Quadragesima
Quad3-5,Feria Sexta infra Hebdomadam III in Quadragesima
Quad3-6,Sabbato infra Hebdomadam III in Quadragesima
Quad4-0,Dominica IV in Quadragesima
Quad4-1,Feria Secunda infra Hebdomadam IV in Quadragesima
Quad4-2,Feria Tertia infra Hebdomadam IV in Quadragesima
Quad4-3,Feria Quarta infra Hebdomadam IV in Quadragesima
Quad4-4,Feria Quinta infra Hebdomadam IV in Quadragesima
Quad4-5,Feria Sexta infra Hebdomadam IV in Quadragesima
Quad4-6,Sabbato infra Hebdomadam IV in Quadragesima
Quad5-0,Dominica de Passione
Quad5-1,Feria Secunda infra Hebdomadam Passionis
Quad5-2,Feria Tertia infra Hebdomadam Passionis
Quad5-3,Feria Quarta infra Hebdomadam Passionis
Quad5-4,Feria Quinta infra Hebdomadam Passionis
Quad5-5,Septem Dolorum Beatæ Mariæ Virgine
Quad5-6,Sabbato infra Hebdomadam Passionis
Quad6-0,Dominica in Palmis
Quad6-1,Feria Secunda Majoris Hebdomadæ
Quad6-2,Feria Tertia Majoris Hebdomadæ
Quad6-3,Feria Quarta Majoris Hebdomadæ
Quad6-4m1,De missa chrismatis
Quad6-4m2,Feria Quinta in Cœna Domini
Quad6-5,Feria Sexta in Parasceve
Quad6-6,Sabbato Sancto
Quadp1-0,Dominica in Septuagesima
Quadp1-1,Feria II infra Hebdomadam Septuagesimæ
Quadp1-2,Feria III infra Hebdomadam Septuagesimæ
Quadp1-3,Feria IV infra Hebdomadam Septuagesimæ
Quadp1-4,Feria V infra Hebdomadam Septuagesimæ
Quadp1-5,Feria VI infra Hebdomadam Septuagesimæ
Quadp1-6,Sabbato infra Hebdomadam Septuagesimæ
Quadp2-0,Dominica in Sexagesima
Quadp2-1,Feria II infra Hebdomadam Sexagesimæ
Quadp2-2,Feria III infra Hebdomadam Sexagesimæ
Quadp2-3,Feria IV infra Hebdomadam Sexagesimæ
Quadp2-4,Feria V infra Hebdomadam Sexagesimæ
Quadp2-5,Feria VI infra Hebdomadam Sexagesimæ
Quadp2-6,Sabbato infra Hebdomadam Sexagesimæ
Quadp3-0,Dominica in Quinquagesima
Quadp3-1,Feria II infra Hebdomadam Quinquagesimæ
Quadp3-2,Feria III infra Hebdomadam Quinquagesimæ
Quadp3-3,Feria IV Cinerum
Quadp3-4,Feria V post Cineres
Quadp3-5,Feria VI post Cineres
Quadp3-6,Sabbato post Cineres
